,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.132049238,-8.164652997,-8.181278616,-8.214557711,-8.219805384,-8.238153393,-8.23999988,-8.253485821,-8.249336739,-8.251724711,-8.240267995,-8.236413454,-8.217752096,-8.207705194,-8.181401703,-8.165753004,-8.134651021,-8.113523656,-8.077603301,-8.050885448,-8.009287152,-7.978067434,-7.932065188,-7.896171413,-7.845869067,-7.807051747,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.14540262,-8.168512448,-8.20043946,-8.212613745,-8.24021099,-8.248435901,-8.263741242,-8.261104728,-8.272847434,-8.264516945,-8.267304991,-8.251904825,-8.247998214,-8.226052534,-8.215520567,-8.186481979,-8.170764748,-8.136570031,-8.115342994,-8.075646951,-8.049816853,-8.004492825,-7.973721389,-7.924014648,-7.889480825,-7.835618501,-7.796337582,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.17300406,-8.194628555,-8.223010222,-8.23523685,-8.261773303,-8.263060124,-8.276849562,-8.272398924,-8.278709517,-8.267054331,-8.267218914,-8.249788441,-8.243611308,-8.219693391,-8.207446818,-8.17796686,-8.159121381,-8.123892445,-8.100272393,-8.061058181,-8.031400119,-7.987622888,-7.952627108,-7.904342904,-7.865871275,-7.81170179,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.170905793,-8.211534592,-8.230794146,-8.258069858,-8.266928113,-8.288761033,-8.290383692,-8.302543721,-8.293952921,-8.300503845,-8.284829779,-8.284922289,-8.26253939,-8.256631014,-8.228204334,-8.216230741,-8.182326111,-8.165111075,-8.125515121,-8.102046794,-8.057341215,-8.028796004,-7.97989204,-7.947099992,-7.893739375,-7.8562221,-7.798282643,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.177207283,-8.203623911,-8.239068844,-8.255932826,-8.279442435,-8.288133825,-8.305300081,-8.305048928,-8.313392339,-8.304217359,-8.306950893,-8.291555257,-8.286777519,-8.264584859,-8.254271492,-8.225164505,-8.208860907,-8.173702837,-8.152437937,-8.112251472,-8.085428198,-8.042032777,-8.009045401,-7.961711161,-7.924422067,-7.8709176,-7.831142363,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.222128548,-8.242956462,-8.277432402,-8.291520315,-8.314198412,-8.317655098,-8.334211014,-8.329595149,-8.338186429,-8.325529252,-8.327503451,-8.307735645,-8.302990485,-8.276843351,-8.265858926,-8.232048471,-8.216053205,-8.176672113,-8.155385711,-8.111278514,-8.084240076,-8.036166553,-8.004680721,-7.951788551,-7.915890036,-7.858216864,-7.819311184,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.192809977,-8.254985207,-8.275999396,-8.305371003,-8.31806238,-8.334960995,-8.337711886,-8.349444126,-8.344311964,-8.348140761,-8.334965912,-8.332615192,-8.312029538,-8.303939088,-8.276645222,-8.262747945,-8.229507467,-8.207797131,-8.167727037,-8.141654176,-8.097874139,-8.066446635,-8.018968344,-7.983398699,-7.930412876,-7.891788288,-7.834387499,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.237949535,-8.299918008,-8.31535066,-8.342785588,-8.350433974,-8.369178119,-8.365806474,-8.376671929,-8.366740028,-8.370595055,-8.352912944,-8.35040116,-8.326085859,-8.317253858,-8.286868176,-8.271629692,-8.233005582,-8.212294756,-8.168584673,-8.142049813,-8.09419691,-8.063554378,-8.010543877,-7.975983358,-7.918778305,-7.880691711,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.277422172,-8.334128233,-8.349213728,-8.369882778,-8.374388885,-8.387734758,-8.383668147,-8.390566966,-8.378594098,-8.378980119,-8.359817945,-8.35398092,-8.328725959,-8.31642004,-8.285253602,-8.266620847,-8.227272287,-8.202099602,-8.158686354,-8.127631289,-8.080221662,-8.045214269,-7.992573639,-7.954057787,-7.896462526,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.278634497,-8.322676092,-8.378879609,-8.388426939,-8.406174957,-8.408367517,-8.419726196,-8.412558775,-8.417045676,-8.401644588,-8.39994724,-8.377552562,-8.369569611,-8.341200743,-8.327120575,-8.292626829,-8.27282112,-8.229854567,-8.203804222,-8.156371077,-8.126003855,-8.073154362,-8.038993683,-7.982201112,-7.944108432,,,,,,,,
